#{"t_start": 1624582655.764554, "env_id": null}
4.119132,13,771.66683
12.00414,22,773.474102
3.439419,7,774.069047
7.545582,12,775.077433
9.844764,18,776.575598
9.793965,15,777.807517
2.732994,8,778.540965
3.343542,9,779.264623
3.169004,9,780.077629
7.157937,14,781.24184
3.760728,12,782.313483
1.948045,8,783.039211
2.480265,8,783.756734
7.894626,12,784.793652
3.583253,8,785.526245
3.809357,8,786.247456
1.872031,7,786.873012
4.831803,10,787.647642
11.718985,19,789.139714
2.258636,8,789.786763
8.997966,18,791.191586
1.81175,6,791.740239
3.619436,10,792.565613
6.134149,15,793.80692
3.024077,9,794.626606
5.321948,12,795.725648
3.195738,9,796.440114
3.184961,9,797.155807
2.454035,8,797.855839
2.345462,4,798.260042
4.775628,10,799.157489
2.57804,6,799.723831
5.288758,9,800.48142
6.007142,11,801.474482
7.66828,17,802.904671
4.013564,9,803.64075
6.120706,15,804.871396
5.528689,12,805.822135
2.991856,7,806.360748
1.708768,6,806.880173
5.346215,11,807.772207
11.477643,18,809.237293
7.608473,15,810.424425
3.461595,10,811.312385
1.326904,4,811.713765
1.496251,5,812.205833
2.038217,7,812.822676
4.572533,12,813.862468
6.349,13,814.991878
5.58341,10,815.81233
1.206814,3,816.104481
2.247148,6,816.623573
2.136842,8,817.256876
10.111983,20,818.854541
3.916729,10,819.70438
3.910816,12,820.621255
8.65211,17,821.888414
3.818365,8,822.538363
4.422971,11,823.421043
4.500423,11,824.215859
4.361239,8,824.903756
7.7557,16,826.302736
1.584623,6,826.810128
2.341915,7,827.405305
9.401324,23,829.266775
4.815122,10,830.086629
4.065318,9,830.79467
3.88389,11,831.720836
4.921125,11,832.610025
2.647125,8,833.276532
3.067661,9,834.055836
4.124038,9,834.904903
3.379411,9,835.692741
1.836641,6,836.205889
1.721255,6,836.754033
3.000466,6,837.277673
8.138627,15,838.454795
1.747473,5,838.941145
8.59362,17,840.292703
10.199077,17,841.669307
8.298465,17,843.056456
2.294575,5,843.529192
6.112631,12,844.5606
3.596476,9,845.381039
6.104543,14,846.537739
3.768134,9,847.270565
1.852098,6,847.769871
2.380193,5,848.255702
8.968212,17,849.636685
6.346258,13,850.721781
1.764808,6,851.288347
2.048675,5,851.752913
7.27144,15,852.943572
4.141883,9,853.703469
4.915905,11,854.652653
2.218552,6,855.205987
1.498191,5,855.718798
2.879244,8,856.411677
2.328696,8,857.088865
5.301578,13,858.189989
1.691904,6,858.736295
4.15191,8,859.486007
4.09955,8,860.190997
2.281919,7,860.805354
2.785882,6,861.373039
1.482067,5,861.811716
2.880739,8,862.534803
4.325363,11,863.522532
3.760768,9,864.339126
3.082487,8,865.021315
5.501197,11,865.968436
2.904541,9,866.738665
3.470332,8,867.425956
5.477076,11,868.302958
2.956631,9,869.101977
3.519555,10,869.95447
2.603527,7,870.57915
5.528284,12,871.537301
3.9124,9,872.235614
2.095207,6,872.726762
4.321442,9,873.487649
2.636206,6,874.020433
3.491901,11,874.87124
2.417787,7,875.522228
3.516567,10,876.302699
6.268761,13,877.420505
1.800541,6,878.007193
2.429648,8,878.721608
1.828669,6,879.321588
4.172057,12,880.277251
4.351376,11,881.130893
4.467089,9,881.956021
2.942098,8,882.702999
1.849821,7,883.369566
4.607755,11,884.327446
1.906028,7,884.969411
1.378418,5,885.518456
3.432926,9,886.274046
2.156898,8,887.002889
2.666871,9,887.786599
2.558625,7,888.414767
10.69187,18,889.886762
1.965333,6,890.376399
5.923717,15,891.619486
6.164369,13,892.686906
3.993866,7,893.27047
4.516805,9,893.990997
4.462457,10,894.817542
7.793677,14,895.999362
2.674485,8,896.738623
10.572871,20,898.32403
2.368487,8,899.042502
3.837499,10,899.936667
9.894035,18,901.376506
68.926212,102,910.35284
3.492448,10,911.17005
4.340173,11,912.100417
5.317715,10,912.981717
3.321201,9,913.809325
5.264193,9,914.651868
1.991377,8,915.357765
3.332731,9,916.20704
4.324423,10,917.086894
1.412282,5,917.588373
9.766862,16,919.000601
3.320064,8,919.718822
2.761196,6,920.325277
3.464688,9,921.163201
5.474351,13,922.303772
1.405058,5,922.756244
1.831895,7,923.409208
3.266351,8,924.134996
2.300426,8,924.840486
3.058068,8,925.619084
2.655333,8,926.306739
2.653672,7,926.912495
6.990882,14,928.017879
16.183355,28,930.253393
4.626529,11,931.150179
2.591479,6,931.697435
5.373751,13,932.792515
2.866104,8,933.540425
3.572207,11,934.503508
2.327906,7,935.13917
3.354891,8,935.801652
9.435996,18,937.269362
6.013371,12,938.300272
6.541103,18,939.783112
6.850701,13,940.857837
3.071448,9,941.667517
7.539336,15,942.87599
4.140758,8,943.682797
2.796999,8,944.417449
2.154232,8,945.171429
3.117093,8,945.874746
3.006777,8,946.596081
2.570545,7,947.271238
4.140156,12,948.323481
1.595848,5,948.802127
3.172038,7,949.436044
3.381754,9,950.185319
1.867739,7,950.803999
7.656874,16,952.202274
5.041328,13,953.28296
4.424979,13,954.364952
2.844255,8,955.084586
3.339485,8,955.850984
3.650823,8,956.53238
2.89782,8,957.217177
7.160286,14,958.384265
1.859752,7,958.993269
1.681664,6,959.498718
3.937642,11,960.419007
4.387947,11,961.358797
2.657141,8,962.099148
7.227691,14,963.21033
1.614063,5,963.707067
4.689844,11,964.654759
8.048847,14,965.867907
5.692364,11,966.795021
3.80863,10,967.684217
6.241105,13,968.820964
4.487923,10,969.651884
5.645737,11,970.650906
4.790531,12,971.702229
14.89182,26,973.798964
2.014188,8,974.500249
1.367383,5,974.956454
5.782913,10,975.81657
2.768698,8,976.584351
2.631208,7,977.197412
3.499636,8,977.898579
2.846058,7,978.581792
2.057085,7,979.186317
4.683648,7,979.869498
3.398293,7,980.544995
5.400176,9,981.400461
5.18822,11,982.311814
5.664056,13,983.41107
3.356435,6,983.92198
4.674953,10,984.797035
4.375,9,985.599446
4.557529,10,986.47106
1.55145,6,987.084521
3.495566,10,987.955282
3.472769,9,988.783585
7.391,17,990.165842
3.738302,10,991.069412
1.636796,5,991.531275
4.477716,10,992.349036
5.961544,12,993.325642
2.808732,7,993.976468
8.935136,20,995.580249
1.310986,5,996.066781
5.936822,15,997.405944
2.747007,7,998.065851
5.058415,14,999.232889
2.963484,8,999.939015
1.649908,6,1000.496357
4.359066,9,1001.231974
2.022432,7,1001.91617
12.542798,21,1003.631989
2.654955,8,1004.364968
7.443449,16,1005.798403
2.049526,7,1006.382219
5.746921,15,1007.681097
2.272927,8,1008.33405
2.235471,9,1009.148466
3.020489,10,1010.039702
2.008752,6,1010.598628
3.495818,10,1011.445781
7.758943,16,1012.810543
3.182481,8,1013.581535
1.873278,7,1014.201935
3.33594,10,1015.08602
6.430078,12,1016.139333
2.558376,7,1016.796027
2.235539,8,1017.513161
4.247368,10,1018.443208
5.138151,12,1019.452701
4.080317,10,1020.346669
4.045201,10,1021.225547
6.447437,15,1022.531461
13.382435,24,1024.531804
3.440094,9,1025.302823
2.347448,7,1025.935507
6.649637,10,1026.881245
2.445215,8,1027.629915
3.103952,8,1028.352324
3.758193,8,1029.129285
1.527269,5,1029.583898
6.92971,13,1030.653138
2.050796,8,1031.310153
2.05984,7,1031.929305
6.577287,15,1033.213832
3.040413,8,1033.931943
3.344616,10,1034.830432
11.853038,20,1036.479404
4.001918,9,1037.281107
5.016518,15,1038.481543
3.954509,9,1039.259122
1.599123,6,1039.846973
5.611947,12,1040.849477
2.904836,10,1041.698105
1.762631,6,1042.231482
1.721117,6,1042.764931
3.662698,11,1043.670278
5.9598,13,1044.661448
2.153147,8,1045.358896
4.001524,12,1046.345676
5.563737,12,1047.362221
3.778951,8,1048.0611
4.823557,12,1049.081738
9.437956,21,1050.764686
1.623867,5,1051.250188
3.189945,9,1052.045184
1.746212,6,1052.613792
2.368986,9,1053.447045
5.573528,10,1054.308096
3.025706,9,1055.105033
7.064677,15,1056.404824
7.48757,14,1057.580685
3.826082,11,1058.51638
1.956983,7,1059.144747
1.839834,7,1059.745904
1.507661,6,1060.309006
3.876514,12,1061.350396
8.944699,15,1062.560584
1.891701,6,1063.094877
5.414704,9,1063.823641
4.667322,13,1064.977167
2.795951,8,1065.63996
6.696877,13,1066.760885
2.368119,7,1067.418501
1.831428,7,1068.012058
3.933201,11,1068.950757
2.427824,6,1069.500147
2.161598,8,1070.217837
2.969856,9,1070.93452
6.139708,11,1071.874253
1.936767,6,1072.432564
3.425206,11,1073.316925
2.680606,10,1074.153756
1.447336,5,1074.628375
2.368217,6,1075.141611
8.044321,15,1076.428324
4.181192,9,1077.260455
3.816519,10,1078.112879
3.836276,11,1079.080052
4.76623,8,1080.570131
5.15575,12,1081.627457
2.576211,4,1082.001852
2.744243,7,1082.712735
4.871804,14,1083.870032
3.790937,8,1084.577597
5.376278,13,1085.660218
3.880791,10,1086.578719
3.725819,9,1087.359418
2.730444,9,1088.147625
3.280155,9,1088.946331
1.641498,6,1089.526843
2.094735,9,1090.377554
1.839608,8,1091.078745
6.80736,14,1092.311101
2.825937,8,1093.065963
6.007704,13,1094.199019
4.481598,9,1094.999213
5.781144,13,1096.08208
3.400636,10,1096.962861
8.463221,15,1098.18381
7.390104,16,1099.478402
3.598144,9,1100.226565
2.819892,9,1101.045123
4.2734,12,1102.059156
1.906425,7,1102.661365
1.447718,5,1103.111804
5.915424,15,1104.356521
7.126337,13,1105.425987
2.654487,8,1106.126838
2.563527,9,1106.895233
4.512747,12,1107.931269
10.512443,17,1109.327799
5.085055,11,1110.238437
2.064938,8,1110.965987
3.754831,11,1111.906773
5.536181,11,1112.893128
12.73908,28,1115.208871
1.749552,6,1115.727155
5.842155,12,1116.811473
2.374837,6,1117.394256
2.255203,8,1118.12756
3.720484,10,1119.026439
3.443217,9,1119.882648
4.98323,12,1120.945188
1.74836,7,1121.610894
2.497447,8,1122.328563
1.877511,7,1122.987629
5.700413,15,1124.225704
1.723496,7,1124.837551
5.232461,11,1125.799131
3.559509,8,1126.542215
5.390687,11,1127.434256
1.883852,7,1128.09215
3.973744,10,1128.975436
2.680498,8,1129.599035
2.400038,6,1130.176671
5.244086,11,1131.091452
4.493837,11,1131.992065
6.743014,14,1133.160058
3.165385,9,1133.908706
4.135564,11,1134.783827
4.644691,11,1135.676269
2.46297,9,1136.477099
2.38802,6,1137.07548
3.82641,11,1137.977018
3.430868,10,1138.827785
3.150832,8,1139.543239
8.412306,16,1140.81424
6.786893,14,1141.947716
8.328873,13,1143.009814
2.403026,9,1143.792244
3.466707,11,1144.713148
2.104305,8,1145.367171
12.168392,22,1147.048563
5.666783,12,1148.141044
10.809941,22,1149.978572
10.406547,17,1151.387501
3.273534,9,1152.190727
7.648055,16,1153.530128
1.907809,7,1154.180931
2.774712,8,1154.929355
2.442664,7,1155.587403
2.005852,7,1156.208639
6.369367,14,1157.396121
9.339097,19,1158.933068
3.218176,10,1159.776179
1.857028,6,1160.283064
5.907123,13,1161.356632
7.172079,15,1162.675267
5.12946,12,1163.688008
1.765319,7,1164.28983
1.478902,5,1164.78395
1.850485,7,1165.406549
3.33521,11,1166.327481
10.597311,21,1168.086716
2.910438,10,1169.013128
1.494694,5,1169.469294
8.458481,16,1170.773656
7.432767,15,1172.047677
3.632003,9,1172.827343
7.749666,16,1174.143308
1.730021,7,1174.744641
4.206936,8,1175.492399
6.305642,14,1176.708845
1.974363,6,1177.290506
2.250197,8,1177.986629
7.818185,14,1179.258863
4.502945,9,1180.064327
4.13442,12,1181.077136
9.809968,16,1182.408778
3.143059,8,1183.179434
6.585719,15,1184.441527
5.92625,13,1185.524554
3.091655,9,1186.300656
4.16177,11,1187.21545
6.972946,11,1188.214534
8.493217,16,1189.583947
1.800598,5,1190.08883
4.820546,11,1191.024746
2.220481,5,1191.515411
2.412284,9,1192.386225
4.124207,11,1193.407815
8.164781,15,1194.659156
4.644129,8,1195.398072
2.602597,7,1196.058482
5.820535,12,1197.112209
5.817409,13,1198.255841
2.753821,7,1198.874183
1.930469,7,1199.525899
5.04681,12,1200.548174
3.097953,9,1201.422707
7.563994,17,1202.855736
2.573882,8,1203.559001
3.149187,8,1204.24757
2.676021,7,1204.858042
3.928054,12,1205.82348
4.282115,10,1206.678351
3.997933,9,1207.489106
7.269929,17,1208.82513
3.014078,10,1209.622686
4.539838,10,1210.511643
2.679635,6,1211.089719
4.838341,10,1211.906541
3.783519,11,1212.794655
4.213944,10,1213.672799
3.706751,8,1214.408197
6.320285,13,1215.527182
4.623269,10,1216.380288
7.247873,13,1217.461071
4.425327,9,1218.288852
3.593299,9,1219.045605
10.523774,21,1220.692556
3.097722,9,1221.556265
4.329651,12,1222.605662
3.009113,10,1223.440088
4.247523,10,1224.308553
2.478389,6,1224.888219
1.690364,6,1225.474867
3.458897,9,1226.212372
2.631682,7,1226.813357
4.830017,12,1227.850662
2.822874,7,1228.481564
1.607403,6,1229.008593
9.17579,16,1230.323742
5.913329,12,1231.279441
1.795563,6,1231.84073
2.209274,6,1232.394451
2.587656,7,1233.056442
5.778479,12,1234.076055
3.954783,9,1234.894374
2.681018,8,1235.613511
5.41192,11,1236.517293
4.560742,11,1237.507455
5.468389,12,1238.526218
6.272444,10,1239.465802
3.756126,11,1240.441802
3.626233,12,1241.509037
3.850077,11,1242.441443
7.706465,15,1243.672577
3.395334,7,1244.341796
5.044275,11,1245.321896
2.126434,7,1245.93997
7.853406,14,1247.138212
2.071025,7,1247.8396
5.708714,15,1249.055317
3.665311,9,1249.788772
3.532232,10,1250.681434
1.687219,7,1251.354389
3.861704,9,1252.172518
6.006777,10,1253.138474
3.318577,8,1253.855142
3.000817,8,1254.58823
7.319312,16,1255.86093
1.641468,6,1256.399966
1.479985,6,1256.936362
1.296139,4,1257.354848
69.740914,102,1266.662265
3.677747,8,1267.41536
2.926277,9,1268.221808
6.069511,13,1269.399278
6.053235,12,1270.449094
3.171354,9,1271.263843
4.431112,10,1272.154337
7.933182,15,1273.477851
2.226916,7,1274.291742
4.991255,10,1275.137766
4.24279,9,1275.971191
5.200166,15,1277.254405
3.477796,11,1278.220626
6.497071,14,1279.501739
3.980329,9,1280.320676
6.563102,15,1281.622303
2.431934,7,1282.288268
9.834393,20,1283.987327
10.467631,18,1285.544134
7.675707,17,1287.09055
3.17339,10,1288.005816
4.214498,8,1288.770292
4.438024,10,1289.738894
7.264182,14,1290.998719
4.247246,11,1292.001807
3.670662,10,1292.886406
2.614389,8,1293.652182
1.994241,7,1294.309626
6.329529,13,1295.530619
2.087718,8,1296.271438
2.869311,9,1297.119457
6.761339,16,1298.559499
3.579942,10,1299.487585
2.160084,7,1300.168612
1.526825,5,1300.703493
2.0763,8,1301.485163
1.624608,7,1302.136001
7.833585,15,1303.472718
2.440348,8,1304.237679
5.260191,10,1305.143487
13.522674,26,1307.419873
1.887052,7,1308.107841
7.729576,14,1309.419442
13.123645,21,1311.26846
1.839823,7,1311.905194
4.049455,8,1312.641464
2.370077,6,1313.208532
7.637762,17,1314.737517
5.523873,12,1315.816814
7.726044,14,1317.108096
4.377958,10,1318.038638
4.94961,12,1319.138568
1.518254,6,1319.717716
2.751197,7,1320.404295
1.950925,7,1321.051909
5.178266,12,1322.150966
2.424343,7,1322.819482
6.492044,11,1323.772283
1.961646,7,1324.451699
7.523827,14,1325.715595
3.465357,10,1326.636642
4.64847,12,1327.736674
7.74622,17,1329.151546
7.573857,14,1330.468506
3.390417,9,1331.335728
7.802491,14,1332.619863
2.266009,8,1333.341396
3.850197,12,1334.483365
2.04252,7,1335.117699
2.732372,9,1335.955299
5.572971,11,1336.952304
4.087826,12,1338.025453
2.783973,9,1338.86376
1.814119,5,1339.341444
11.510039,21,1341.217428
1.83768,7,1341.917138
4.375594,11,1342.953784
4.978602,12,1343.991551
5.186187,12,1345.106663
4.961469,10,1346.083393
4.729565,11,1347.08476
12.93805,26,1349.386642
3.533034,10,1350.30081
2.180088,8,1350.968175
15.012156,28,1353.335747
3.218812,10,1354.251346
1.448755,6,1354.831603
5.525388,12,1355.871582
1.80681,7,1356.558338
4.774265,11,1357.547884
8.35678,14,1358.722485
3.586177,10,1359.703337
1.396848,5,1360.201622
2.486164,7,1360.885219
3.566049,6,1361.501649
4.191405,11,1362.431829
3.696762,9,1363.268654
5.521582,14,1364.496068
1.370655,4,1364.903539
5.867352,14,1366.031867
11.43483,20,1367.612708
5.203089,14,1368.74977
3.684846,10,1369.615989
4.128392,13,1370.694522
2.005716,6,1371.238803
6.445275,11,1372.139875
9.51273,15,1373.36646
4.042465,10,1374.249289
7.564082,12,1375.365985
5.340556,17,1376.826872
10.249085,19,1378.382516
1.576042,6,1378.933828
5.772461,15,1380.137619
4.389938,10,1380.988558
7.691226,19,1382.448673
2.475518,9,1383.205542
10.488546,21,1384.949177
8.253707,18,1386.366091
7.012854,14,1387.514314
7.531359,21,1389.2391
1.659844,6,1389.741045
2.913548,5,1390.248397
3.385527,9,1391.031078
1.614832,6,1391.593759
4.139278,12,1392.566015
2.086474,7,1393.155336
3.878937,10,1393.981861
2.244032,7,1394.552993
1.745513,7,1395.214647
8.676598,18,1396.598959
7.672424,15,1397.865095
4.622961,11,1398.750237
4.681524,14,1399.905024
8.235208,20,1401.491551
4.446798,14,1402.556195
4.586712,15,1403.68736
6.428144,15,1404.916664
7.24861,15,1406.166165
4.272873,13,1407.183019
6.782712,13,1408.159941
4.067121,11,1409.017052
2.872773,8,1409.730805
3.689993,11,1410.614954
3.438342,10,1411.437976
2.051295,7,1412.014282
3.225446,9,1412.696743
3.011648,10,1413.454048
2.438908,10,1414.233067
7.879884,17,1415.49763
14.029505,24,1417.216197
1.932407,7,1417.786442
4.965412,13,1418.796288
7.807972,18,1420.099855
6.197096,12,1421.039711
4.437231,13,1422.013834
4.873548,12,1422.953826
4.142044,12,1423.864441
5.280539,12,1424.746804
4.461443,11,1425.548536
10.646862,18,1426.897412
5.615644,15,1427.987589
11.784066,23,1429.647829
9.252171,20,1431.082867
10.312459,22,1432.729053
5.454884,14,1433.756724
68.195782,102,1441.763078
5.535064,15,1442.871968
2.723888,9,1443.579378
5.154335,13,1444.553201
2.860708,10,1445.302004
11.904464,20,1446.79847
7.520937,16,1447.968512
9.017143,15,1449.080858
4.946465,13,1450.012521
1.291389,4,1450.35198
6.643889,15,1451.4856
7.082628,15,1452.577226
2.238947,9,1453.245131
6.726392,17,1454.462352
9.751949,18,1455.763374
8.686653,20,1457.212272
9.710395,17,1458.444703
5.523149,15,1459.529057
9.037153,19,1460.904335
3.79287,9,1461.59809
6.823233,18,1462.888652
7.896598,19,1464.267797
5.171166,13,1465.22891
4.224323,11,1466.028778
4.183605,9,1466.704378
12.562206,24,1468.428449
4.580881,12,1469.386889
5.633381,14,1470.428025
8.670249,16,1471.62832
3.779041,12,1472.55156
8.061795,17,1473.799668
9.592699,20,1475.245756
7.070193,13,1476.228325
5.703097,16,1477.431035
3.449676,12,1478.335189
4.410693,13,1479.311039
2.65321,7,1479.861965
22.956408,38,1482.528746
6.245494,17,1483.794672
6.392777,17,1485.061332
2.820014,9,1485.746221
13.92711,24,1487.480797
16.945344,29,1489.55294
2.987679,8,1490.20013
2.730754,8,1490.845204
5.284765,16,1491.976815
8.945491,20,1493.42614
6.093092,14,1494.493845
9.369484,21,1495.995051
6.250268,14,1497.01143
1.511008,6,1497.496553
8.887189,18,1498.809204
7.667113,18,1500.130225
12.451499,25,1501.942268
1.677172,7,1502.495102
6.408502,16,1503.716536
6.005907,17,1505.010304
9.459294,20,1506.449413
14.422942,26,1508.292655
2.55265,9,1509.019929
5.410374,12,1509.919376
10.999702,19,1511.282992
4.653807,14,1512.343906
6.054334,13,1513.329174
7.702975,16,1514.515791
3.990147,10,1515.262266
22.86327,37,1517.90938
6.491006,16,1519.059241
3.787056,10,1519.843162
4.373843,11,1520.659104
1.906533,7,1521.203935
2.022913,7,1521.769377
5.134254,14,1522.860207
5.676874,16,1523.992289
2.998046,8,1524.626973
7.113856,15,1525.693253
3.13418,9,1526.368368
2.700182,10,1527.126196
7.037018,15,1528.243643
8.992064,17,1529.476473
6.846734,17,1530.709299
4.008751,8,1531.332156
11.58651,22,1532.941681
4.169741,10,1533.726595
4.170274,12,1534.625937
6.917632,14,1535.677742
4.912753,13,1536.625222
17.71335,33,1538.999066
7.464981,16,1540.24229
7.147089,19,1541.624511
1.932409,8,1542.248596
6.154267,16,1543.442275
4.936748,15,1544.565387
23.249714,38,1547.225463
6.307417,14,1548.232137
6.658226,14,1549.29718
3.243325,9,1549.965312
8.550846,20,1551.40857
6.261241,13,1552.392027
6.337534,16,1553.561071
5.349433,13,1554.548047
3.922994,10,1555.325095
13.646279,25,1557.107688
6.210475,15,1558.19181
3.899739,11,1559.031381
3.643904,12,1559.925035
4.67069,13,1560.882156
6.277893,14,1561.917697
10.120147,18,1563.257598
3.632422,11,1564.091639
7.203201,16,1565.309025
11.734971,25,1567.09197
2.472094,8,1567.708669
6.991601,14,1568.775966
2.43119,7,1569.359064
6.764386,14,1570.414521
15.940868,34,1572.783857
1.680357,7,1573.375718
2.723339,10,1574.141432
5.910626,15,1575.231669
4.921593,15,1576.341895
4.115066,12,1577.208257
4.328256,11,1577.997945
10.231624,18,1579.340985
3.916551,13,1580.292507
10.600173,23,1581.92389
3.706667,9,1582.599479
8.523624,15,1583.698985
3.469856,7,1584.2737
75.211001,102,1592.192657
5.979384,15,1593.324024
7.759624,18,1594.615938
11.972028,24,1596.354952
16.550548,30,1598.506353
4.803804,14,1599.512815
6.20397,18,1600.856196
2.591139,9,1601.540066
14.075938,29,1603.640444
5.989306,15,1604.722938
9.760338,21,1606.255577
9.475451,22,1607.806352
23.375174,43,1610.773698
6.244489,16,1611.924545
4.589426,13,1612.879338
12.982708,30,1615.023983
7.983127,18,1616.338935
5.731637,14,1617.37511
13.851749,29,1619.471739
11.898082,21,1620.955709
8.80438,21,1622.439167
3.644015,9,1623.1228
2.732633,8,1623.772092
4.639023,12,1624.640563
6.609904,16,1625.790717
5.338581,13,1626.725541
10.583892,21,1628.255975
10.153641,21,1629.739057
6.123929,14,1630.745333
13.106052,27,1632.671599
3.1003,9,1633.346266
11.10074,23,1634.989932
4.831523,13,1635.970409
4.053004,12,1636.952898
1.64898,5,1637.469193
9.443244,19,1639.021744
9.43996,18,1640.454562
3.07996,12,1641.406332
2.735851,8,1642.12331
3.77118,10,1642.956063
4.39232,17,1644.338562
8.522597,16,1645.562781
2.21433,10,1646.406276
3.918879,10,1647.220508
7.134187,17,1648.562352
2.777597,8,1649.278804
8.914448,19,1650.873807
4.908203,9,1651.653903
1.693093,6,1652.180316
4.479537,14,1653.373403
2.909934,11,1654.277318
1.597178,6,1654.822701
2.607248,9,1655.584956
7.388718,19,1657.188806
6.185972,16,1658.539721
1.894707,8,1659.260602
1.855974,7,1659.906765
12.552009,25,1661.930736
11.182879,22,1663.736865
1.452043,5,1664.236947
4.882604,12,1665.253931
6.754492,17,1666.671239
13.008576,26,1668.738127
7.435925,15,1670.021636
2.125529,7,1670.654502
1.607004,7,1671.305634
7.703786,16,1672.639962
10.222158,23,1674.436623
8.466036,16,1675.693086
3.173857,9,1676.486416
6.72694,17,1677.755669
8.577402,18,1679.12202
4.999205,13,1680.143688
7.096018,15,1681.293146
6.868306,15,1682.412228
1.670576,7,1683.026261
4.653076,11,1683.884484
3.23664,7,1684.485762
3.968601,11,1685.473232
13.267085,23,1687.223473
3.859439,11,1688.170194
10.160322,19,1689.687656
7.494478,15,1690.903779
8.643545,17,1692.256993
8.616818,18,1693.669285
1.797603,6,1694.223124
9.7243,19,1695.775084
2.038879,8,1696.50326
8.270525,15,1697.751612
3.3563,11,1698.674348
4.691096,11,1699.690642
3.416327,11,1700.689532
2.983302,10,1701.552421
7.116687,15,1702.810806
2.256732,9,1703.56857
1.876029,7,1704.245886
2.422187,6,1704.815294
10.238852,20,1706.482052
5.364351,13,1707.551683
2.390866,9,1708.311007
3.727011,9,1709.087122
3.30705,10,1709.94501
3.17923,11,1710.886299
2.973766,9,1711.619669
3.057838,9,1712.390954
3.783222,11,1713.226075
5.652924,12,1714.235183
3.692582,11,1715.120495
7.543755,19,1716.647504
10.420182,23,1718.552977
5.525277,13,1719.604182
6.863819,16,1720.851013
7.642746,14,1722.027012
9.873462,19,1723.602199
12.541336,23,1725.421732
3.484556,11,1726.374987
15.328696,26,1728.49824
9.737196,22,1730.293557
2.920073,9,1731.104201
2.968646,9,1731.852502
6.150557,15,1733.070719
7.186155,14,1734.286781
8.056846,16,1735.619169
3.557911,10,1736.486361
3.868684,9,1737.268039
4.011715,11,1738.170807
9.468436,17,1739.57587
1.748509,7,1740.202257
2.778441,10,1741.103166
3.527663,10,1741.963058
8.805982,18,1743.551347
5.500734,13,1744.737031
8.180751,16,1746.101509
5.143605,11,1747.051162
5.885259,15,1748.325165
